	version_1	version_2	version_3
545	8350.t00554	9629.t00556	11667.t00552
546	8350.t00555	9629.t00557	11667.t00553
547	8350.t00556	9629.t00558	11667.t00554
548	8350.t00557	9629.t00559	11667.t00555
549	8350.t00558	9629.t00560	11667.t00556
550	8350.t00559	9629.t00561	11667.t00557
551	8350.t00560	9629.t00562	11667.t00558
552	8350.t00561	9629.t00563	11667.t00559
553	8350.t00562	9629.t00564	11667.t00560
554	8350.t00563	9629.t00565	11667.t00561
555	8350.t00564	9629.t00566	11667.t00562
556	8350.t00565	9629.t00567	11667.t00563
557	8350.t00566	9629.t00568	11667.t00564
558	8350.t00567	9629.t00569	11667.t00565
559	8350.t00568	9629.t00570	11667.t00566
560	8350.t00569	9629.t00571	11667.t00567
561	8350.t00570	9629.t00572	11667.t00568
562	8350.t00571	9629.t00573	11667.t00569
563	8350.t00572	9629.t00574	11667.t00570
564	8350.t00573	9629.t00575	11667.t00571
565	8350.t00574	9629.t00576	11667.t00572
566	8350.t00575	9629.t00577	11667.t00573
567	8350.t00576	9629.t00578	11667.t00574
568	8350.t00577	9629.t00579	11667.t00575
569	8350.t00578	9629.t00580	11667.t00576
570	8350.t00579	9629.t00581	11667.t00577
571	8350.t00580	9629.t00582	11667.t00578
572	8350.t00581	9629.t00583	11667.t00579
573	8350.t00582	9629.t00584	11667.t00580
574	8350.t00583	9629.t00585	11667.t00581
575	8350.t00584	9629.t00586	11667.t00582
576	8350.t00585	9629.t00587	11667.t00583
577	8350.t00586	9629.t00588	11667.t00584
578	8350.t00587	9629.t00589	11667.t00585
579	8350.t00588	9629.t00590	11667.t00586
580	8350.t00589	9629.t00591	11667.t00587
581	8350.t00590	9629.t00592	11667.t00588
582	8350.t00591	9629.t00593	11667.t00589
583	8350.t00592	9629.t00594	11667.t00590
584	8350.t00593	9629.t00595	11667.t00591
585	8350.t00594	9629.t00596	11667.t00592
586	8350.t00595	9629.t00597	11667.t00593
587	8350.t00596	9629.t00598	11667.t00594
588	8350.t00597	9629.t00599	11667.t00595
589	8350.t00598	9629.t00600	11667.t00596
590	8350.t00599	9629.t00601	11667.t00597
591	8350.t00600	9629.t00602	11667.t00598
592	8350.t00601	9629.t00603	11667.t00599
593	8350.t00602	9629.t00604	11667.t00600
594	8350.t00603	9629.t00605	11667.t00601
595	8350.t00604	9629.t00606	11667.t00602
596	8350.t00605	9629.t00607	11667.t00603
597	8350.t00606	9629.t00608	11667.t00604
598	8350.t00607	9629.t00609	11667.t00605
599	8350.t00608	9629.t00610	11667.t00606
